order_id,customer,product,order_date,quantity,price
1001,Alice Smith,Widget,2025-01-04,3,19.99
1002,  Bob Jones  ,Gadget,01/05/2025,2,49.50
1003,Carol White,Sprocket,06-Jan-2025,,12.00
1004,Dan Brown,Cog,2025-01-07,5,
1005,Eve Black,Gizmo,01/08/2025,1,200.00
1006,Frank Green,Widget,09-Jan-2025,4,19.99
1007,Grace Hall,Gadget,2025-01-10,2,49.50
1008,Heidi Park,Sprocket,01/11/2025,7,12.00
1009,Ivan Reed,Cog,12-Jan-2025,3,8.25
1010,Judy Cole,Gizmo,2025-01-13,1,200.00
1001,Alice Smith,Widget,2025-01-04,3,19.99
1005,Eve Black,Gizmo,01/08/2025,1,200.00
